time,lat,lon,tavg
2/1/2000,27.812532,-97.395836,19.04004
3/1/2000,27.812532,-97.395836,21.330078
4/1/2000,27.812532,-97.395836,22.679688
5/1/2000,27.812532,-97.395836,26.820312
6/1/2000,27.812532,-97.395836,28.40039
7/1/2000,27.812532,-97.395836,29.889648
8/1/2000,27.812532,-97.395836,29.589844
9/1/2000,27.812532,-97.395836,28.009766
10/1/2000,27.812532,-97.395836,24.25
11/1/2000,27.812532,-97.395836,17.65039
12/1/2000,27.812532,-97.395836,11.580078
1/1/2001,27.812532,-97.395836,12.1796875
2/1/2001,27.812532,-97.395836,16.969727
3/1/2001,27.812532,-97.395836,16.15039
4/1/2001,27.812532,-97.395836,23.45996
5/1/2001,27.812532,-97.395836,25.80957
6/1/2001,27.812532,-97.395836,28.719727
7/1/2001,27.812532,-97.395836,29.65039
8/1/2001,27.812532,-97.395836,29.549805
9/1/2001,27.812532,-97.395836,26.919922
10/1/2001,27.812532,-97.395836,23.219727
11/1/2001,27.812532,-97.395836,19.799805
12/1/2001,27.812532,-97.395836,15.55957
1/1/2002,27.812532,-97.395836,15.099609
2/1/2002,27.812532,-97.395836,13.0703125
3/1/2002,27.812532,-97.395836,18.280273
4/1/2002,27.812532,-97.395836,24.799805
5/1/2002,27.812532,-97.395836,26.54004
6/1/2002,27.812532,-97.395836,28.669922
7/1/2002,27.812532,-97.395836,29.259766
8/1/2002,27.812532,-97.395836,29.780273
9/1/2002,27.812532,-97.395836,27.139648
10/1/2002,27.812532,-97.395836,24.179688
11/1/2002,27.812532,-97.395836,17.30957
12/1/2002,27.812532,-97.395836,14.849609
1/1/2003,27.812532,-97.395836,12
2/1/2003,27.812532,-97.395836,14.009766
3/1/2003,27.812532,-97.395836,17.5
4/1/2003,27.812532,-97.395836,22.120117
5/1/2003,27.812532,-97.395836,27.389648
6/1/2003,27.812532,-97.395836,28.580078
7/1/2003,27.812532,-97.395836,28.759766
8/1/2003,27.812532,-97.395836,29.19043
9/1/2003,27.812532,-97.395836,26.469727
10/1/2003,27.812532,-97.395836,23.530273
11/1/2003,27.812532,-97.395836,20.379883
12/1/2003,27.812532,-97.395836,14.990234
1/1/2004,27.812532,-97.395836,14.700195
2/1/2004,27.812532,-97.395836,14.19043
3/1/2004,27.812532,-97.395836,21.160156
4/1/2004,27.812532,-97.395836,21.719727
5/1/2004,27.812532,-97.395836,24.799805
6/1/2004,27.812532,-97.395836,28.019531
7/1/2004,27.812532,-97.395836,29.05957
8/1/2004,27.812532,-97.395836,29.089844
9/1/2004,27.812532,-97.395836,27.629883
10/1/2004,27.812532,-97.395836,26.700195
11/1/2004,27.812532,-97.395836,20.030273
12/1/2004,27.812532,-97.395836,13.75
1/1/2005,27.812532,-97.395836,15.6796875
2/1/2005,27.812532,-97.395836,16.679688
3/1/2005,27.812532,-97.395836,18.820312
4/1/2005,27.812532,-97.395836,22.230469
5/1/2005,27.812532,-97.395836,25.169922
6/1/2005,27.812532,-97.395836,28.530273
7/1/2005,27.812532,-97.395836,29.929688
8/1/2005,27.812532,-97.395836,30.519531
9/1/2005,27.812532,-97.395836,29.30957
10/1/2005,27.812532,-97.395836,23.80957
11/1/2005,27.812532,-97.395836,20.15039
12/1/2005,27.812532,-97.395836,14.299805
1/1/2006,27.812532,-97.395836,16.740234
2/1/2006,27.812532,-97.395836,15.75
3/1/2006,27.812532,-97.395836,21.219727
4/1/2006,27.812532,-97.395836,24.860352
5/1/2006,27.812532,-97.395836,26.929688
6/1/2006,27.812532,-97.395836,28.160156
7/1/2006,27.812532,-97.395836,28.740234
8/1/2006,27.812532,-97.395836,30
9/1/2006,27.812532,-97.395836,27.299805
10/1/2006,27.812532,-97.395836,24.610352
11/1/2006,27.812532,-97.395836,20.379883
12/1/2006,27.812532,-97.395836,14.740234
1/1/2007,27.812532,-97.395836,11.530273
2/1/2007,27.812532,-97.395836,14.8203125
3/1/2007,27.812532,-97.395836,20.429688
4/1/2007,27.812532,-97.395836,20.679688
5/1/2007,27.812532,-97.395836,25.429688
6/1/2007,27.812532,-97.395836,28.09961
7/1/2007,27.812532,-97.395836,28.139648
8/1/2007,27.812532,-97.395836,29.230469
9/1/2007,27.812532,-97.395836,28.089844
10/1/2007,27.812532,-97.395836,24.40039
11/1/2007,27.812532,-97.395836,19.629883
12/1/2007,27.812532,-97.395836,16.610352
1/1/2008,27.812532,-97.395836,13.240234
2/1/2008,27.812532,-97.395836,17.889648
3/1/2008,27.812532,-97.395836,18.990234
4/1/2008,27.812532,-97.395836,22.55957
5/1/2008,27.812532,-97.395836,26.65039
6/1/2008,27.812532,-97.395836,28.95996
